Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Fraction,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TREATMENT,Cell_type,Tissue
SRR15513211,RNA-Seq,35,4438520320,PRJNA756018,SAMN20849928,1952391624,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11812005,ribosome-protected mRNA fragments,GSM5527736,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527736,untreated normal human hepatocytes,SRP333128,untreated,Hepatocytes,
SRR15513212,RNA-Seq,29,2107713720,PRJNA756018,SAMN20849929,981169168,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11812006,ribosome-protected mRNA fragments,GSM5527737,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527737,untreated normal human hepatocytes,SRP333128,untreated,Hepatocytes,
SRR15513213,RNA-Seq,35,1882667670,PRJNA756018,SAMN20849930,809418966,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11812007,ribosome-protected mRNA fragments,GSM5527738,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527738,untreated normal human umbilical vein endothelial cells,SRP333128,untreated,HUVEC,
SRR15513214,RNA-Seq,35,2020337508,PRJNA756018,SAMN20849931,905051173,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11812008,ribosome-protected mRNA fragments,GSM5527739,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527739,untreated normal human umbilical vein endothelial cells,SRP333128,untreated,HUVEC,
SRR15513216,RNA-Seq,35,7685550669,PRJNA756018,SAMN20849915,3558473929,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11812010,ribosome-protected mRNA fragments,GSM5527741,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527741,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513217,RNA-Seq,35,5922115238,PRJNA756018,SAMN20849916,2689311514,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11812011,ribosome-protected mRNA fragments,GSM5527742,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527742,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513218,RNA-Seq,35,8698661433,PRJNA756018,SAMN20849917,3921210011,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11812012,ribosome-protected mRNA fragments,GSM5527743,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527743,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513219,RNA-Seq,35,7796937662,PRJNA756018,SAMN20849918,3523295189,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11812013,ribosome-protected mRNA fragments,GSM5527744,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527744,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513220,RNA-Seq,35,2173908630,PRJNA756018,SAMN20849919,962568233,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11812014,ribosome-protected mRNA fragments,GSM5527745,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527745,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513221,RNA-Seq,35,1348185447,PRJNA756018,SAMN20849920,616377819,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11812015,ribosome-protected mRNA fragments,GSM5527746,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527746,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513222,RNA-Seq,35,1609769265,PRJNA756018,SAMN20849921,744197749,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11812016,ribosome-protected mRNA fragments,GSM5527747,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527747,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513223,RNA-Seq,35,1549337969,PRJNA756018,SAMN20849922,706662458,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11812017,ribosome-protected mRNA fragments,GSM5527748,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527748,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513224,RNA-Seq,35,889477205,PRJNA756018,SAMN20849923,18093377,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11812018,ribosome-protected mRNA fragments,GSM5527749,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527749,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513225,RNA-Seq,35,797131549,PRJNA756018,SAMN20849924,96943451,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11812019,ribosome-protected mRNA fragments,GSM5527750,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527750,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
SRR15513226,RNA-Seq,35,2049808617,PRJNA756018,SAMN20849870,890727178,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11812020,ribosome-protected mRNA fragments,GSM5527751,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527751,untreated normal human vascular smooth muscle cells,SRP333128,untreated,VSMC,
